"state","year","age","population"
"AL",2023,45,403884
"AL",2023,55,295164
"AL",2023,65,180997
"AL",2023,75,101614
"AL",2023,90,9766
"AL",2024,25,557920
"AL",2024,35,498094
"AL",2024,45,411915
"AL",2024,55,304161
"AL",2024,65,186566
"AL",2024,75,105931
"AL",2024,90,10210
"AL",2025,25,562378
"AL",2025,35,498720
"AL",2025,45,420340
"AL",2025,55,312551
"AL",2025,65,192372
"AL",2025,75,110414
"AL",2025,90,10710
"AL",2026,25,565319
"AL",2026,35,499144
"AL",2026,45,429003
"AL",2026,55,320380
"AL",2026,65,198386
"AL",2026,75,115082
"AL",2026,90,11269
"AL",2027,25,567071
"AL",2027,35,499612
"AL",2027,45,437789
"AL",2027,55,327622
"AL",2027,65,204561
"AL",2027,75,119944
"AL",2027,90,11896
"AL",2028,25,566819
"AL",2028,35,500474
"AL",2028,45,446289
"AL",2028,55,334513
"AL",2028,65,211002
"AL",2028,75,124967
"AL",2028,90,12576
"AL",2029,25,563483
"AL",2029,35,502243
"AL",2029,45,453885
"AL",2029,55,341448
"AL",2029,65,217873
"AL",2029,75,130103
"AL",2029,90,13281
"AL",2030,25,558094
"AL",2030,35,505180
"AL",2030,45,460163
"AL",2030,55,348688
"AL",2030,65,225255
"AL",2030,75,135323
"AL",2030,90,14006
"AL",2031,25,551079
"AL",2031,35,509421
"AL",2031,45,465116
"AL",2031,55,356109
"AL",2031,65,233093
"AL",2031,75,140647
"AL",2031,90,14759
"AL",2032,25,540970
"AL",2032,35,515250
"AL",2032,45,468624
"AL",2032,55,363620
"AL",2032,65,241414
"AL",2032,75,146064
"AL",2032,90,15562
"AL",2033,25,530167
"AL",2033,35,521858
"AL",2033,45,470928
"AL",2033,55,371309
"AL",2033,65,249914
"AL",2033,75,151627
"AL",2033,90,16409
"AL",2034,25,518355
"AL",2034,35,527999
"AL",2034,45,472454
"AL",2034,55,379306
"AL",2034,65,258134
"AL",2034,75,157382
"AL",2034,90,17307
"AL",2035,25,505811
"AL",2035,35,532833
"AL",2035,45,473482
"AL",2035,55,387642
"AL",2035,65,265816
"AL",2035,75,163355
"AL",2035,90,18256
"AL",2036,25,494312
"AL",2036,35,536158
"AL",2036,45,474295
"AL",2036,55,396157
"AL",2036,65,273002
"AL",2036,75,169533
"AL",2036,90,19264
"AL",2037,25,482984
"AL",2037,35,538269
"AL",2037,45,475108
"AL",2037,55,404761
"AL",2037,65,279662
"AL",2037,75,175892
"AL",2037,90,20339
"AL",2038,25,472400
"AL",2038,35,538361
"AL",2038,45,476286
"AL",2038,55,413059
"AL",2038,65,286025
"AL",2038,75,182479
"AL",2038,90,21471
"AL",2039,25,463232
"AL",2039,35,535383
"AL",2039,45,478311
"AL",2039,55,420495
"AL",2039,65,292452
"AL",2039,75,189360
"AL",2039,90,22668
"AL",2040,25,454679
"AL",2040,35,530315
"AL",2040,45,481440
"AL",2040,55,426706
"AL",2040,65,299171
"AL",2040,75,196587
"AL",2040,90,23915
"AL",2041,25,445320
"AL",2041,35,523621
"AL",2041,45,485808
"AL",2041,55,431668
"AL",2041,65,306087
"AL",2041,75,204126
"AL",2041,90,25218
"AL",2042,25,437198
"AL",2042,35,513886
"AL",2042,45,491705
"AL",2042,55,435277
"AL",2042,65,313121
"AL",2042,75,212002
"AL",2042,90,26582
"AL",2043,25,430109
"AL",2043,35,503472
"AL",2043,45,498332
"AL",2043,55,437766
"AL",2043,65,320320
"AL",2043,75,220023
"AL",2043,90,27994
"AL",2044,25,424200
"AL",2044,35,492044
"AL",2044,45,504492
"AL",2044,55,439518
"AL",2044,65,327779
"AL",2044,75,227899
"AL",2044,90,29417
"AL",2045,25,419898
"AL",2045,35,479888
"AL",2045,45,509357
"AL",2045,55,440801
"AL",2045,65,335489
"AL",2045,75,235461
"AL",2045,90,30843
"AL",2046,25,415469
"AL",2046,35,468745
"AL",2046,45,512739
"AL",2046,55,441878
"AL",2046,65,343303
"AL",2046,75,242733
"AL",2046,90,32287
"AL",2047,25,411354
"AL",2047,35,457760
"AL",2047,45,514943
"AL",2047,55,442943
"AL",2047,65,351133
"AL",2047,75,249679
"AL",2047,90,33753
"AL",2048,25,407523
"AL",2048,35,447491
"AL",2048,45,515170
"AL",2048,55,444349
"AL",2048,65,358649
"AL",2048,75,256497
"AL",2048,90,35264
"AL",2049,25,403943
"AL",2049,35,438608
"AL",2049,45,512390
"AL",2049,55,446558
"AL",2049,65,365398
"AL",2049,75,263527
"AL",2049,90,36828
"AL",2050,25,400234
"AL",2050,35,430314
"AL",2050,45,507596
"AL",2050,55,449793
"AL",2050,65,371076
"AL",2050,75,270974
"AL",2050,90,38463
"AL",2051,25,397293
"AL",2051,35,421223
"AL",2051,45,501233
"AL",2051,55,454179
"AL",2051,65,375672
"AL",2051,75,278731
"AL",2051,90,40164
"AL",2052,25,394359
"AL",2052,35,413341
"AL",2052,45,491916
"AL",2052,55,459994
"AL",2052,65,379084
"AL",2052,75,286778
"AL",2052,90,41916
"AL",2053,25,390008
"AL",2053,35,406467
"AL",2053,45,481952
"AL",2053,55,466467
"AL",2053,65,381526
"AL",2053,75,294962
"AL",2053,90,43741
"AL",2054,25,385422
"AL",2054,35,400747
"AL",2054,45,471001
"AL",2054,55,472457
"AL",2054,65,383327
"AL",2054,75,303066
"AL",2054,90,45668
"AL",2055,25,380610
"AL",2055,35,396596
"AL",2055,45,459325
"AL",2055,55,477183
"AL",2055,65,384716
"AL",2055,75,310933
"AL",2055,90,47704
"AL",2056,25,375558
"AL",2056,35,392321
"AL",2056,45,448614
"AL",2056,55,480474
"AL",2056,65,385939
"AL",2056,75,318491
"AL",2056,90,49834
"AL",2057,25,370284
"AL",2057,35,388346
"AL",2057,45,438066
"AL",2057,55,482631
"AL",2057,65,387144
"AL",2057,75,325654
"AL",2057,90,52062
"AL",2058,25,364800
"AL",2058,35,384645
"AL",2058,45,428198
"AL",2058,55,482900
"AL",2058,65,388659
"AL",2058,75,332421
"AL",2058,90,54309
"AL",2059,25,359162
"AL",2059,35,381189
"AL",2059,45,419660
"AL",2059,55,480305
"AL",2059,65,390899
"AL",2059,75,338848
"AL",2059,90,56450
"AL",2060,25,353397
"AL",2060,35,377603
"AL",2060,45,411695
"AL",2060,55,475828
"AL",2060,65,394043
"AL",2060,75,344938
"AL",2060,90,58433
"AM",2010,25,616619
"AM",2010,35,430247
"AM",2010,45,286858
"AM",2010,55,167888
