"variant","disease","group","subgroup","N","MAE","MRE","RMSE","Bias","Cov_80","Cov_95"
"nb5_ar2","Retinopathy","Region","Center-West",420,198.068,2.3185,428.85,75.139,87.1,99
"nb5_ar2","Retinopathy","Region","Southeast",420,176.074,0.7721,344.541,73.794,87.4,98.8
"nb5_ar2","Retinopathy","Region","South",315,223.784,0.7308,433.686,88.868,87.9,98.1
"nb5_ar2","Eye & Appendage Diseases","Age","25-34",405,35.776,0.6345,53.146,16.741,91.1,98.8
"nb5_ar2","Eye & Appendage Diseases","Age","35-44",405,70.406,0.8056,104.068,63.733,91.9,99.5
"nb5_ar2","Eye & Appendage Diseases","Age","45-54",405,97.632,0.6738,146.717,86.096,98.3,100
"nb5_ar2","Eye & Appendage Diseases","Age","55-64",405,105.126,0.8493,148.16,-52.04,97,99.8
"nb5_ar2","Eye & Appendage Diseases","Age","65-74",405,622.31,1.8171,952.339,-598.72,72.1,95.1
"nb5_ar2","Eye & Appendage Diseases","Age","75-89",405,935.567,3.1751,1616.062,-798.852,80.7,95.1
"nb5_ar2","Eye & Appendage Diseases","Age","90+",405,2073.781,15.8144,2524.893,2066.267,53.8,87.7
"nb5_ar2","Eye & Appendage Diseases","Region","North",735,326.685,11.294,792.475,-4.82,81.4,95
"nb5_ar2","Eye & Appendage Diseases","Region","Northeast",945,523.142,0.6777,1032.382,127.524,82.3,96.6
"nb5_ar2","Eye & Appendage Diseases","Region","Center-West",420,912.169,0.6743,1869.836,153.424,84.5,96
"nb5_ar2","Eye & Appendage Diseases","Region","Southeast",420,728.557,0.5431,1299.556,103.965,84.5,99
"nb5_ar2","Eye & Appendage Diseases","Region","South",315,547.158,0.5521,1103.447,292.491,89.8,97.5
"nb5_age_quad","Glaucoma","Age","25-34",345,1.557,0.5088,2.583,-0.92,77.7,92.2
"nb5_age_quad","Glaucoma","Age","35-44",390,2.272,0.6783,3.403,1.058,92.6,98.7
"nb5_age_quad","Glaucoma","Age","45-54",390,5.307,1.0244,8.196,4.074,92.8,99.5
"nb5_age_quad","Glaucoma","Age","55-64",375,7.923,1.3035,11.945,4.323,95.7,99.7
"nb5_age_quad","Glaucoma","Age","65-74",405,16.492,1.8134,28.085,-10.142,94.6,99.5
"nb5_age_quad","Glaucoma","Age","75-89",375,31.012,2.6202,54.363,-20.557,86.9,97.9
"nb5_age_quad","Glaucoma","Age","90+",345,29.134,4.4939,43.772,17.797,90.4,98.6
"nb5_age_quad","Glaucoma","Region","North",570,8.809,4.0101,18.99,0.244,95.4,98.9
"nb5_age_quad","Glaucoma","Region","Northeast",900,12.374,1.3231,29.477,-0.773,90.3,98.1
"nb5_age_quad","Glaucoma","Region","Center-West",420,19.734,1.6346,37.398,-3.515,88.8,98.3
"nb5_age_quad","Glaucoma","Region","Southeast",420,12.507,0.6988,25.791,-4.529,88.1,98.6
"nb5_age_quad","Glaucoma","Region","South",315,16.272,0.4419,31.916,4.962,86,95.6
"nb5_age_quad","Retinopathy","Age","25-34",405,7.14,0.5036,10.336,-5.003,73.3,92.1
"nb5_age_quad","Retinopathy","Age","35-44",405,15.148,0.8157,21.475,14.063,88.4,97.5
"nb5_age_quad","Retinopathy","Age","45-54",405,38.784,1.0705,54.766,37.546,88.6,99.8
"nb5_age_quad","Retinopathy","Age","55-64",405,32.551,1.4601,47.999,-2.658,97.5,99.8
"nb5_age_quad","Retinopathy","Age","65-74",405,87.442,1.6764,130.405,-78.765,91.1,100
"nb5_age_quad","Retinopathy","Age","75-89",405,87.533,2.922,146.972,-62.101,93.1,98.8
"nb5_age_quad","Retinopathy","Age","90+",390,81.836,3.4333,114.444,49.825,86.2,97.7
"nb5_age_quad","Retinopathy","Region","North",720,31.907,5.0817,82.354,-10.966,89.2,97.2
"nb5_age_quad","Retinopathy","Region","Northeast",945,48.584,0.501,81.259,-6.015,91.1,98.6
"nb5_age_quad","Retinopathy","Region","Center-West",420,63.681,0.9875,104.31,-6.905,88.1,98.3
"nb5_age_quad","Retinopathy","Region","Southeast",420,53.387,0.2916,81.306,-3.719,84.3,98.8
"nb5_age_quad","Retinopathy","Region","South",315,71.888,0.2889,121.526,-5.645,83.8,95.9
"nb5_age_quad","Eye & Appendage Diseases","Age","25-34",405,31.667,0.4697,42.103,-15.026,76.5,93.8
"nb5_age_quad","Eye & Appendage Diseases","Age","35-44",405,68.941,0.7685,102.779,62.503,86.7,98
"nb5_age_quad","Eye & Appendage Diseases","Age","45-54",405,158.657,0.9731,227.296,156.527,88.1,99
"nb5_age_quad","Eye & Appendage Diseases","Age","55-64",405,153.75,1.1044,218.232,116.051,98,100
"nb5_age_quad","Eye & Appendage Diseases","Age","65-74",405,454.545,1.89,729.499,-395.795,84.4,97.8
"nb5_age_quad","Eye & Appendage Diseases","Age","75-89",405,933.316,2.909,1604.038,-819.309,74.3,93.8
"nb5_age_quad","Eye & Appendage Diseases","Age","90+",405,632.545,8.3616,796.578,449.337,84.9,98
"nb5_age_quad","Eye & Appendage Diseases","Region","North",735,251.689,7.7974,671.531,-96.066,80.8,94.7
"nb5_age_quad","Eye & Appendage Diseases","Region","Northeast",945,304.2,0.4447,590.687,-41.601,86.6,98.1
"nb5_age_quad","Eye & Appendage Diseases","Region","Center-West",420,556.122,0.4884,1182.669,-132.763,85.7,96.9
"nb5_age_quad","Eye & Appendage Diseases","Region","Southeast",420,440.281,0.4513,750.815,-120.864,85.2,99.8
"nb5_age_quad","Eye & Appendage Diseases","Region","South",315,300.274,0.403,485.903,114.072,86.3,97.5
"nb5_age_cat","Glaucoma","Age","25-34",345,1.555,0.636,2.497,-0.091,81.4,92.2
"nb5_age_cat","Glaucoma","Age","35-44",390,1.872,0.5628,2.74,-0.015,91,98.5
"nb5_age_cat","Glaucoma","Age","45-54",390,3.33,0.7207,5.104,0.181,92.1,98.5
"nb5_age_cat","Glaucoma","Age","55-64",375,6.171,1.1126,9.765,0.423,94.1,98.7
"nb5_age_cat","Glaucoma","Age","65-74",405,12.583,2.0442,19.865,-0.504,94.6,99.8
"nb5_age_cat","Glaucoma","Age","75-89",375,24.699,3.1373,38.467,-1.221,92,98.7
"nb5_age_cat","Glaucoma","Age","90+",345,23.94,3.5162,38.008,1.987,89.3,97.4
"nb5_age_cat","Glaucoma","Region","North",570,8.286,3.9586,17.546,0.645,96.3,98.8
"nb5_age_cat","Glaucoma","Region","Northeast",900,9.226,1.2176,20.957,0.13,91.6,98.2
"nb5_age_cat","Glaucoma","Region","Center-West",420,15.091,1.4877,28.495,-1.928,89.8,98.1
"nb5_age_cat","Glaucoma","Region","Southeast",420,8.037,0.5992,17.055,-3.718,90,97.4
"nb5_age_cat","Glaucoma","Region","South",315,15.1,0.4,27.032,6.673,81.3,94.6
"nb5_age_cat","Retinopathy","Age","25-34",405,6.076,0.6089,8.695,0.689,75.6,91.1
"nb5_age_cat","Retinopathy","Age","35-44",405,6.99,0.5182,10.077,1.11,84.7,96.5
"nb5_age_cat","Retinopathy","Age","45-54",405,12.311,0.626,17.928,2.112,92.6,99.8
"nb5_age_cat","Retinopathy","Age","55-64",405,30.618,1.4708,45.038,-0.405,93.6,98.8
"nb5_age_cat","Retinopathy","Age","65-74",405,46.79,1.9573,72.255,-5.26,94.1,99.8
"nb5_age_cat","Retinopathy","Age","75-89",405,72.616,3.3204,112.869,-8.916,87.7,98
"nb5_age_cat","Retinopathy","Age","90+",390,66.395,2.7392,101.861,-1.969,76.9,94.6
"nb5_age_cat","Retinopathy","Region","North",720,26.11,5.0999,68.545,-7.587,87.5,94.9
"nb5_age_cat","Retinopathy","Region","Northeast",945,32.071,0.3865,55.372,0.931,87.4,98.4
"nb5_age_cat","Retinopathy","Region","Center-West",420,43.415,0.8259,76.347,-1.67,88.1,98.6
"nb5_age_cat","Retinopathy","Region","Southeast",420,31.671,0.1692,52.48,1.034,84.5,96
"nb5_age_cat","Retinopathy","Region","South",315,51.713,0.1789,88.349,-0.761,81.9,96.5
"nb5_age_cat","Eye & Appendage Diseases","Age","25-34",405,32.167,0.5419,47.264,9.667,77.3,91.9
"nb5_age_cat","Eye & Appendage Diseases","Age","35-44",405,36.073,0.4562,53.555,13.275,82.7,95.6
"nb5_age_cat","Eye & Appendage Diseases","Age","45-54",405,52.31,0.4202,80.553,18.664,93.8,98.5
"nb5_age_cat","Eye & Appendage Diseases","Age","55-64",405,102.401,0.8859,139.784,19.235,96.3,99.8
"nb5_age_cat","Eye & Appendage Diseases","Age","65-74",405,309.023,2.3312,475.857,-83.431,88.1,97.5
"nb5_age_cat","Eye & Appendage Diseases","Age","75-89",405,685.257,4.0532,1109.489,-240.266,80,96.3
"nb5_age_cat","Eye & Appendage Diseases","Age","90+",405,480.329,5.9644,759.576,-121.4,79.3,94.6
"nb5_age_cat","Eye & Appendage Diseases","Region","North",735,209.062,7.2306,567.106,-90.519,78.6,92
"nb5_age_cat","Eye & Appendage Diseases","Region","Northeast",945,201.369,0.3148,393.986,-32.709,87.9,98
"nb5_age_cat","Eye & Appendage Diseases","Region","Center-West",420,385.369,0.318,864.982,-114.469,86,96.4
"nb5_age_cat","Eye & Appendage Diseases","Region","Southeast",420,274.146,0.244,492.518,-118.33,90,98.6
"nb5_age_cat","Eye & Appendage Diseases","Region","South",315,211.306,0.2744,344.253,125.694,86.3,98.1
"nb5_ar1_age_quad","Glaucoma","Age","25-34",345,1.555,0.5051,2.587,-0.913,77.7,90.7
"nb5_ar1_age_quad","Glaucoma","Age","35-44",390,2.243,0.6472,3.407,1.024,93.1,98.7
"nb5_ar1_age_quad","Glaucoma","Age","45-54",390,5.166,0.9181,8.13,3.859,93.3,99.2
"nb5_ar1_age_quad","Glaucoma","Age","55-64",375,7.628,1.1869,11.528,3.869,95.7,99.5
"nb5_ar1_age_quad","Glaucoma","Age","65-74",405,16.138,1.3296,28.032,-11.058,94.3,99.3
"nb5_ar1_age_quad","Glaucoma","Age","75-89",375,30.641,2.1711,54.136,-21.325,86.4,98.4
"nb5_ar1_age_quad","Glaucoma","Age","90+",345,29.059,4.0974,44.567,18.137,90.7,98.3
"nb5_ar1_age_quad","Glaucoma","Region","North",570,8.05,3.1335,18.894,-0.71,95.8,98.8
"nb5_ar1_age_quad","Glaucoma","Region","Northeast",900,12.492,1.2708,29.867,-0.926,90.2,97.8
"nb5_ar1_age_quad","Glaucoma","Region","Center-West",420,19.5,1.5397,37.199,-3.58,89,98.6
"nb5_ar1_age_quad","Glaucoma","Region","Southeast",420,12.286,0.6715,25.237,-4.551,88.3,98.3
"nb5_ar1_age_quad","Glaucoma","Region","South",315,16.367,0.4369,32.365,4.684,85.7,94.6
"nb5_ar1_age_quad","Retinopathy","Age","25-34",405,7.045,0.4877,10.218,-4.907,72.8,92.6
"nb5_ar1_age_quad","Retinopathy","Age","35-44",405,15.095,0.7761,21.415,13.988,88.6,96.5
"nb5_ar1_age_quad","Retinopathy","Age","45-54",405,38.381,0.9755,54.134,37.096,88.6,99.8
"nb5_ar1_age_quad","Retinopathy","Age","55-64",405,32.62,1.3063,48.281,-3.301,97.5,99.5
"nb5_ar1_age_quad","Retinopathy","Age","65-74",405,88.792,1.4704,132.967,-81.146,90.6,99.5
"nb5_ar1_age_quad","Retinopathy","Age","75-89",405,88.032,2.6252,148,-63.275,91.6,99.3
"nb5_ar1_age_quad","Retinopathy","Age","90+",390,82.422,3.3007,115.719,51.213,86.2,96.9
"nb5_ar1_age_quad","Retinopathy","Region","North",720,31.458,4.5879,82.855,-11.538,88.9,96.8
"nb5_ar1_age_quad","Retinopathy","Region","Northeast",945,49.182,0.4994,82.35,-5.955,89.6,98.3
"nb5_ar1_age_quad","Retinopathy","Region","Center-West",420,65.17,0.9393,107.345,-8.56,89,98.8
"nb5_ar1_age_quad","Retinopathy","Region","Southeast",420,53.074,0.2901,80.841,-3.777,85.2,98.3
"nb5_ar1_age_quad","Retinopathy","Region","South",315,72.036,0.287,121.852,-6.462,83.5,95.9
"nb5_ar1_age_quad","Eye & Appendage Diseases","Age","25-34",405,31.605,0.4669,42.02,-14.72,77,94.8
"nb5_ar1_age_quad","Eye & Appendage Diseases","Age","35-44",405,68.269,0.763,102.129,61.841,85.9,98
"nb5_ar1_age_quad","Eye & Appendage Diseases","Age","45-54",405,156.686,0.9471,224.213,154.715,88.6,98.8
"nb5_ar1_age_quad","Eye & Appendage Diseases","Age","55-64",405,151.568,1.0455,217.181,112.616,98.3,100
"nb5_ar1_age_quad","Eye & Appendage Diseases","Age","65-74",405,455.498,1.8601,732.885,-402.621,86.7,98.3
"nb5_ar1_age_quad","Eye & Appendage Diseases","Age","75-89",405,936.976,2.9674,1617.315,-826.024,73.8,93.8
"nb5_ar1_age_quad","Eye & Appendage Diseases","Age","90+",405,638.26,8.0198,807.623,454.336,84.2,97.8
"nb5_ar1_age_quad","Eye & Appendage Diseases","Region","North",735,250.284,7.5787,668.648,-97.608,82,94.6
"nb5_ar1_age_quad","Eye & Appendage Diseases","Region","Northeast",945,304.875,0.4434,595.163,-41.781,86.3,98.7
"nb5_ar1_age_quad","Eye & Appendage Diseases","Region","Center-West",420,558.764,0.4851,1200.244,-138.281,84.8,97.9
"nb5_ar1_age_quad","Eye & Appendage Diseases","Region","Southeast",420,441.554,0.4501,756.296,-127.156,86,98.8
"nb5_ar1_age_quad","Eye & Appendage Diseases","Region","South",315,303.302,0.4007,493.878,115.766,86.3,97.1
"nb5_ar1_age_cat","Glaucoma","Age","25-34",345,1.546,0.6241,2.5,-0.132,82,92.2
"nb5_ar1_age_cat","Glaucoma","Age","35-44",390,1.832,0.5233,2.728,-0.086,90.8,97.9
"nb5_ar1_age_cat","Glaucoma","Age","45-54",390,3.284,0.6551,5.126,0.077,91.5,97.9
"nb5_ar1_age_cat","Glaucoma","Age","55-64",375,6.059,1.0165,9.793,0.274,93.9,98.7
"nb5_ar1_age_cat","Glaucoma","Age","65-74",405,11.862,1.4951,19.269,-1.083,95.3,99.8
"nb5_ar1_age_cat","Glaucoma","Age","75-89",375,23.776,2.6328,37.56,-1.734,93.9,98.1
"nb5_ar1_age_cat","Glaucoma","Age","90+",345,23.624,3.1529,37.78,1.422,89.3,97.1
"nb5_ar1_age_cat","Glaucoma","Region","North",570,7.434,3.0696,17.158,-0.361,95.6,98.9
"nb5_ar1_age_cat","Glaucoma","Region","Northeast",900,9.109,1.1388,20.638,-0.018,91.8,97.8
"nb5_ar1_age_cat","Glaucoma","Region","Center-West",420,14.916,1.4274,28.101,-2.191,90.2,97.9
"nb5_ar1_age_cat","Glaucoma","Region","Southeast",420,7.735,0.5654,16.302,-3.466,91.2,97.1
"nb5_ar1_age_cat","Glaucoma","Region","South",315,14.991,0.3969,26.944,6.519,82.2,94
"nb5_ar1_age_cat","Retinopathy","Age","25-34",405,6.041,0.5887,8.705,0.64,75.1,91.9
"nb5_ar1_age_cat","Retinopathy","Age","35-44",405,7.035,0.4921,10.144,1.091,84.9,97
"nb5_ar1_age_cat","Retinopathy","Age","45-54",405,12.282,0.5645,18.014,1.945,93.3,99.5
"nb5_ar1_age_cat","Retinopathy","Age","55-64",405,30.314,1.2774,45.004,-0.645,93.8,98.5
"nb5_ar1_age_cat","Retinopathy","Age","65-74",405,45.718,1.672,71.106,-5.248,94.1,99.5
"nb5_ar1_age_cat","Retinopathy","Age","75-89",405,72.624,2.9656,112.722,-9.193,87.2,99.3
"nb5_ar1_age_cat","Retinopathy","Age","90+",390,66.048,2.6735,101.192,-2.489,76.2,94.1
"nb5_ar1_age_cat","Retinopathy","Region","North",720,25.417,4.5623,67.52,-8.025,87.4,95.8
"nb5_ar1_age_cat","Retinopathy","Region","Northeast",945,31.988,0.3817,55.2,0.649,87.7,97.7
"nb5_ar1_age_cat","Retinopathy","Region","Center-West",420,43.286,0.7903,76.216,-1.703,88.1,98.8
"nb5_ar1_age_cat","Retinopathy","Region","Southeast",420,31.684,0.169,52.506,1.247,84.3,96.2
"nb5_ar1_age_cat","Retinopathy","Region","South",315,51.486,0.1783,88.223,-0.748,81,97.5
"nb5_ar1_age_cat","Eye & Appendage Diseases","Age","25-34",405,32.172,0.5383,46.972,9.503,77,91.9
"nb5_ar1_age_cat","Eye & Appendage Diseases","Age","35-44",405,35.764,0.4541,52.965,12.833,82.7,95.8
"nb5_ar1_age_cat","Eye & Appendage Diseases","Age","45-54",405,52.304,0.4134,81.083,18.048,93.1,99.3
"nb5_ar1_age_cat","Eye & Appendage Diseases","Age","55-64",405,102.572,0.8485,139.971,17.243,96.3,99.8
"nb5_ar1_age_cat","Eye & Appendage Diseases","Age","65-74",405,304.86,2.3329,469.098,-85.654,88.9,97
"nb5_ar1_age_cat","Eye & Appendage Diseases","Age","75-89",405,687.513,4.0156,1106.644,-242.813,79.5,96
"nb5_ar1_age_cat","Eye & Appendage Diseases","Age","90+",405,480.254,5.7549,760.006,-125.832,80.2,94.8
"nb5_ar1_age_cat","Eye & Appendage Diseases","Region","North",735,209.074,7.0695,567.928,-91.7,78.9,92.8
"nb5_ar1_age_cat","Eye & Appendage Diseases","Region","Northeast",945,203.086,0.3148,395.444,-34.714,87.9,97.8
"nb5_ar1_age_cat","Eye & Appendage Diseases","Region","Center-West",420,379.892,0.3178,855.494,-116.696,86.7,96.4
"nb5_ar1_age_cat","Eye & Appendage Diseases","Region","Southeast",420,273.658,0.2417,493.303,-123.067,88.8,98.3
"nb5_ar1_age_cat","Eye & Appendage Diseases","Region","South",315,211.35,0.2742,343.802,127.785,86.7,97.8
