"variant","disease","group","subgroup","N","MAE","MRE","RMSE","Bias","Cov_80","Cov_95"
"nb5_llt","Eye & Appendage Diseases","Age","35-44",405,70.899,0.7941,105.007,64.368,92.1,99
"nb5_llt","Eye & Appendage Diseases","Age","45-54",405,97.097,0.671,144.903,86.658,97.8,100
"nb5_llt","Eye & Appendage Diseases","Age","55-64",405,104.044,0.8177,144.476,-49.551,97.8,100
"nb5_llt","Eye & Appendage Diseases","Age","65-74",405,617.249,1.6827,940.951,-595.589,73.6,97
"nb5_llt","Eye & Appendage Diseases","Age","75-89",405,925.084,2.9861,1603.923,-798.39,80,96.5
"nb5_llt","Eye & Appendage Diseases","Age","90+",405,2077.338,15.3331,2539.454,2070.857,54.8,88.1
"nb5_llt","Eye & Appendage Diseases","Region","North",735,324.846,10.8396,794.257,-4.213,80.7,96.3
"nb5_llt","Eye & Appendage Diseases","Region","Northeast",945,522.2,0.6752,1029.652,129.547,82.5,96.4
"nb5_llt","Eye & Appendage Diseases","Region","Center-West",420,913.719,0.646,1881.025,157.794,85.2,97.6
"nb5_llt","Eye & Appendage Diseases","Region","Southeast",420,724.974,0.5423,1295.518,108.046,85,99.3
"nb5_llt","Eye & Appendage Diseases","Region","South",315,540.858,0.5453,1095.941,290.101,90.8,97.8
"nb5_llt_expo","Glaucoma","Age","25-34",345,2.39,1.0773,3.651,1.576,90.4,99.1
"nb5_llt_expo","Glaucoma","Age","35-44",390,3.172,0.9246,4.906,2.439,97.2,99.5
"nb5_llt_expo","Glaucoma","Age","45-54",390,3.643,0.8458,5.548,1.326,98.7,100
"nb5_llt_expo","Glaucoma","Age","55-64",375,8.968,1.0203,14.376,-6.385,95.5,98.9
"nb5_llt_expo","Glaucoma","Age","65-74",405,28.083,1.6375,47.516,-24.614,85.7,98.8
"nb5_llt_expo","Glaucoma","Age","75-89",375,33.228,2.8822,58.709,-21.741,95.5,99.5
"nb5_llt_expo","Glaucoma","Age","90+",345,136.46,12.1433,192.864,134.589,73.9,96.2
"nb5_llt_expo","Glaucoma","Region","North",570,12.599,5.6917,31.547,3.552,96.1,99.1
"nb5_llt_expo","Glaucoma","Region","Northeast",900,29.042,2.3466,80.047,10.719,90.1,99
"nb5_llt_expo","Glaucoma","Region","Center-West",420,41.345,2.8118,92.8,13.069,90.7,99
"nb5_llt_expo","Glaucoma","Region","Southeast",420,31.192,1.2654,67.507,7.81,89.3,98.8
"nb5_llt_expo","Glaucoma","Region","South",315,44.359,0.9827,102.014,23.773,88.6,98.1
"nb5_llt_expo","Retinopathy","Age","25-34",405,14.81,1.2981,20.249,14.01,93.8,99.8
"nb5_llt_expo","Retinopathy","Age","35-44",405,20.982,1.0783,28.799,20.43,98.5,100
"nb5_llt_expo","Retinopathy","Age","45-54",405,14.75,0.7888,20.978,6.981,99.5,100
"nb5_llt_expo","Retinopathy","Age","55-64",405,87.13,1.3257,119.161,-84.36,89.6,98.5
"nb5_llt_expo","Retinopathy","Age","65-74",405,173.12,1.6974,237.024,-169.403,84,99.3
"nb5_llt_expo","Retinopathy","Age","75-89",405,84.738,3.7205,136.98,-33.471,98.3,99.5
"nb5_llt_expo","Retinopathy","Age","90+",390,658.945,13.2332,815.69,655.36,41.5,88.2
"nb5_llt_expo","Retinopathy","Region","North",720,60.826,8.6331,170.282,11.069,88.3,97.9
"nb5_llt_expo","Retinopathy","Region","Northeast",945,156.366,1.4771,319.117,63.502,84.2,97.8
"nb5_llt_expo","Retinopathy","Region","Center-West",420,195.502,2.4046,416.966,72.636,87.6,97.9
"nb5_llt_expo","Retinopathy","Region","Southeast",420,176.003,0.7715,343.115,73.203,87.4,98.1
"nb5_llt_expo","Retinopathy","Region","South",315,220.905,0.7246,424.228,85.094,88.3,98.4
"nb5_llt_expo","Eye & Appendage Diseases","Age","25-34",405,36.091,0.6179,53.948,17.617,90.9,99.3
"nb5_llt_expo","Eye & Appendage Diseases","Age","35-44",405,71.105,0.7993,105.028,64.538,91.4,98.5
"nb5_llt_expo","Eye & Appendage Diseases","Age","45-54",405,98.469,0.6654,148.185,88.306,97.8,100
"nb5_llt_expo","Eye & Appendage Diseases","Age","55-64",405,102.713,0.7942,143.415,-49.723,98.3,100
